task,method,episode_index,success,steps,high_level_steps,low_level_chunks
libero_90_task19,jitrl,0,0,400,14,40
libero_90_task19,jitrl,1,1,227,8,23
libero_90_task19,jitrl,2,1,213,8,22
libero_90_task19,jitrl,3,1,237,8,24
libero_90_task19,jitrl,4,1,234,8,24
libero_90_task19,jitrl,5,1,232,8,24
libero_90_task19,jitrl,6,1,251,9,26
libero_90_task19,jitrl,7,1,244,9,25
libero_90_task19,jitrl,8,1,207,7,21
libero_90_task19,jitrl,9,1,257,9,26
libero_90_task19,jitrl,10,1,252,9,26
libero_90_task19,jitrl,11,1,253,9,26
libero_90_task19,jitrl,12,1,226,8,23
libero_90_task19,jitrl,13,1,231,8,24
libero_90_task19,jitrl,14,1,242,9,25
libero_90_task19,static,0,0,400,14,40
libero_90_task19,static,1,1,221,8,23
libero_90_task19,static,2,1,299,10,30
libero_90_task19,static,3,1,243,9,25
libero_90_task19,static,4,1,230,8,23
libero_90_task19,static,5,1,245,9,25
libero_90_task19,static,6,1,262,9,27
libero_90_task19,static,7,1,232,8,24
libero_90_task19,static,8,1,212,8,22
libero_90_task19,static,9,1,262,9,27
libero_90_task19,static,10,1,241,9,25
libero_90_task19,static,11,1,254,9,26
libero_90_task19,static,12,1,215,8,22
libero_90_task19,static,13,1,224,8,23
libero_90_task19,static,14,1,247,9,25
libero_90_task27,jitrl,0,0,400,14,40
libero_90_task27,jitrl,1,0,400,14,40
libero_90_task27,jitrl,2,0,400,14,40
libero_90_task27,jitrl,3,0,400,14,40
libero_90_task27,jitrl,4,0,400,14,40
libero_90_task27,jitrl,5,0,400,14,40
libero_90_task27,jitrl,6,0,400,14,40
libero_90_task27,jitrl,7,0,400,14,40
libero_90_task27,jitrl,8,0,400,14,40
libero_90_task27,jitrl,9,0,400,14,40
libero_90_task27,jitrl,10,0,400,14,40
libero_90_task27,jitrl,11,0,400,14,40
libero_90_task27,jitrl,12,0,400,14,40
libero_90_task27,jitrl,13,0,400,14,40
libero_90_task27,jitrl,14,0,400,14,40
libero_90_task27,static,0,0,400,14,40
libero_90_task27,static,1,0,400,14,40
libero_90_task27,static,2,0,400,14,40
libero_90_task27,static,3,0,400,14,40
libero_90_task27,static,4,0,400,14,40
libero_90_task27,static,5,0,400,14,40
libero_90_task27,static,6,0,400,14,40
libero_90_task27,static,7,0,400,14,40
libero_90_task27,static,8,0,400,14,40
libero_90_task27,static,9,0,400,14,40
libero_90_task27,static,10,0,400,14,40
libero_90_task27,static,11,0,400,14,40
libero_90_task27,static,12,0,400,14,40
libero_90_task27,static,13,0,400,14,40
libero_90_task27,static,14,0,400,14,40
libero_90_task60,jitrl,0,1,106,4,11
libero_90_task60,jitrl,1,0,400,14,40
libero_90_task60,jitrl,2,1,101,4,11
libero_90_task60,jitrl,3,1,124,5,13
libero_90_task60,jitrl,4,1,118,4,12
libero_90_task60,jitrl,5,1,114,4,12
libero_90_task60,jitrl,6,1,109,4,11
libero_90_task60,jitrl,7,1,111,4,12
libero_90_task60,jitrl,8,1,124,5,13
libero_90_task60,jitrl,9,1,119,4,12
libero_90_task60,jitrl,10,0,400,14,40
libero_90_task60,jitrl,11,1,112,4,12
libero_90_task60,jitrl,12,1,112,4,12
libero_90_task60,jitrl,13,1,117,4,12
libero_90_task60,jitrl,14,1,112,4,12
libero_90_task60,static,0,1,106,4,11
libero_90_task60,static,1,1,119,4,12
libero_90_task60,static,2,1,103,4,11
libero_90_task60,static,3,1,118,4,12
libero_90_task60,static,4,1,127,5,13
libero_90_task60,static,5,1,114,4,12
libero_90_task60,static,6,1,115,4,12
libero_90_task60,static,7,1,107,4,11
libero_90_task60,static,8,1,117,4,12
libero_90_task60,static,9,1,116,4,12
libero_90_task60,static,10,0,400,14,40
libero_90_task60,static,11,1,119,4,12
libero_90_task60,static,12,1,114,4,12
libero_90_task60,static,13,1,126,5,13
libero_90_task60,static,14,1,136,5,14
libero_90_task62,jitrl,0,0,400,14,40
libero_90_task62,jitrl,1,0,400,14,40
libero_90_task62,jitrl,2,0,400,14,40
libero_90_task62,jitrl,3,0,400,14,40
libero_90_task62,jitrl,4,0,400,14,40
libero_90_task62,jitrl,5,0,400,14,40
libero_90_task62,jitrl,6,0,400,14,40
libero_90_task62,jitrl,7,0,400,14,40
libero_90_task62,jitrl,8,0,400,14,40
libero_90_task62,jitrl,9,0,400,14,40
libero_90_task62,jitrl,10,0,400,14,40
libero_90_task62,jitrl,11,0,400,14,40
libero_90_task62,jitrl,12,0,400,14,40
libero_90_task62,jitrl,13,0,400,14,40
libero_90_task62,jitrl,14,0,400,14,40
libero_90_task62,static,0,0,400,14,40
libero_90_task62,static,1,0,400,14,40
libero_90_task62,static,2,0,400,14,40
libero_90_task62,static,3,0,400,14,40
libero_90_task62,static,4,0,400,14,40
libero_90_task62,static,5,0,400,14,40
libero_90_task62,static,6,0,400,14,40
libero_90_task62,static,7,0,400,14,40
libero_90_task62,static,8,0,400,14,40
libero_90_task62,static,9,0,400,14,40
libero_90_task62,static,10,0,400,14,40
libero_90_task62,static,11,0,400,14,40
libero_90_task62,static,12,0,400,14,40
libero_90_task62,static,13,0,400,14,40
libero_90_task62,static,14,0,400,14,40
libero_90_task79,jitrl,0,1,337,12,34
libero_90_task79,jitrl,1,0,400,14,40
libero_90_task79,jitrl,2,1,395,14,40
libero_90_task79,jitrl,3,1,310,11,31
libero_90_task79,jitrl,4,1,366,13,37
libero_90_task79,jitrl,5,0,400,14,40
libero_90_task79,jitrl,6,0,400,14,40
libero_90_task79,jitrl,7,0,400,14,40
libero_90_task79,jitrl,8,0,400,14,40
libero_90_task79,jitrl,9,0,400,14,40
libero_90_task79,jitrl,10,0,400,14,40
libero_90_task79,jitrl,11,0,400,14,40
libero_90_task79,jitrl,12,0,400,14,40
libero_90_task79,jitrl,13,0,400,14,40
libero_90_task79,jitrl,14,0,400,14,40
libero_90_task79,static,0,0,400,14,40
libero_90_task79,static,1,0,400,14,40
libero_90_task79,static,2,1,180,6,18
libero_90_task79,static,3,0,400,14,40
libero_90_task79,static,4,0,400,14,40
libero_90_task79,static,5,0,400,14,40
libero_90_task79,static,6,0,400,14,40
libero_90_task79,static,7,0,400,14,40
libero_90_task79,static,8,0,400,14,40
libero_90_task79,static,9,0,400,14,40
libero_90_task79,static,10,1,352,12,36
libero_90_task79,static,11,0,400,14,40
libero_90_task79,static,12,0,400,14,40
libero_90_task79,static,13,0,400,14,40
libero_90_task79,static,14,1,374,13,38
