task,method,episode_index,success,steps,high_level_steps,low_level_chunks
libero_90_task18,jitrl,0,0,400,14,40
libero_90_task18,jitrl,1,0,400,14,40
libero_90_task18,jitrl,2,0,400,14,40
libero_90_task18,jitrl,3,0,400,14,40
libero_90_task18,jitrl,4,0,400,14,40
libero_90_task18,jitrl,5,0,400,14,40
libero_90_task18,jitrl,6,0,400,14,40
libero_90_task18,jitrl,7,0,400,14,40
libero_90_task18,jitrl,8,0,400,14,40
libero_90_task18,jitrl,9,0,400,14,40
libero_90_task18,jitrl,10,0,400,14,40
libero_90_task18,jitrl,11,0,400,14,40
libero_90_task18,jitrl,12,0,400,14,40
libero_90_task18,jitrl,13,0,400,14,40
libero_90_task18,jitrl,14,0,400,14,40
libero_90_task18,static,0,0,400,14,40
libero_90_task18,static,1,0,400,14,40
libero_90_task18,static,2,0,400,14,40
libero_90_task18,static,3,0,400,14,40
libero_90_task18,static,4,0,400,14,40
libero_90_task18,static,5,0,400,14,40
libero_90_task18,static,6,0,400,14,40
libero_90_task18,static,7,0,400,14,40
libero_90_task18,static,8,0,400,14,40
libero_90_task18,static,9,0,400,14,40
libero_90_task18,static,10,0,400,14,40
libero_90_task18,static,11,0,400,14,40
libero_90_task18,static,12,0,400,14,40
libero_90_task18,static,13,0,400,14,40
libero_90_task18,static,14,0,400,14,40
libero_90_task53,jitrl,0,0,400,14,40
libero_90_task53,jitrl,1,0,400,14,40
libero_90_task53,jitrl,2,0,400,14,40
libero_90_task53,jitrl,3,0,400,14,40
libero_90_task53,jitrl,4,0,400,14,40
libero_90_task53,jitrl,5,0,400,14,40
libero_90_task53,jitrl,6,0,400,14,40
libero_90_task53,jitrl,7,0,400,14,40
libero_90_task53,jitrl,8,0,400,14,40
libero_90_task53,jitrl,9,0,400,14,40
libero_90_task53,jitrl,10,0,400,14,40
libero_90_task53,jitrl,11,0,400,14,40
libero_90_task53,jitrl,12,0,400,14,40
libero_90_task53,jitrl,13,0,400,14,40
libero_90_task53,jitrl,14,0,400,14,40
libero_90_task53,static,0,0,400,14,40
libero_90_task53,static,1,0,400,14,40
libero_90_task53,static,2,0,400,14,40
libero_90_task53,static,3,0,400,14,40
libero_90_task53,static,4,0,400,14,40
libero_90_task53,static,5,0,400,14,40
libero_90_task53,static,6,0,400,14,40
libero_90_task53,static,7,0,400,14,40
libero_90_task53,static,8,0,400,14,40
libero_90_task53,static,9,0,400,14,40
libero_90_task53,static,10,0,400,14,40
libero_90_task53,static,11,0,400,14,40
libero_90_task53,static,12,0,400,14,40
libero_90_task53,static,13,0,400,14,40
libero_90_task53,static,14,0,400,14,40
libero_90_task59,jitrl,0,1,354,12,36
libero_90_task59,jitrl,1,0,400,14,40
libero_90_task59,jitrl,2,1,394,14,40
libero_90_task59,jitrl,3,1,300,10,30
libero_90_task59,jitrl,4,1,267,9,27
libero_90_task59,jitrl,5,0,400,14,40
libero_90_task59,jitrl,6,0,400,14,40
libero_90_task59,jitrl,7,1,273,10,28
libero_90_task59,jitrl,8,0,400,14,40
libero_90_task59,jitrl,9,0,400,14,40
libero_90_task59,jitrl,10,1,275,10,28
libero_90_task59,jitrl,11,1,312,11,32
libero_90_task59,jitrl,12,1,356,12,36
libero_90_task59,jitrl,13,1,249,9,25
libero_90_task59,jitrl,14,0,400,14,40
libero_90_task59,static,0,1,234,8,24
libero_90_task59,static,1,1,269,9,27
libero_90_task59,static,2,1,274,10,28
libero_90_task59,static,3,0,400,14,40
libero_90_task59,static,4,0,400,14,40
libero_90_task59,static,5,0,400,14,40
libero_90_task59,static,6,0,400,14,40
libero_90_task59,static,7,0,400,14,40
libero_90_task59,static,8,0,400,14,40
libero_90_task59,static,9,0,400,14,40
libero_90_task59,static,10,0,400,14,40
libero_90_task59,static,11,1,285,10,29
libero_90_task59,static,12,0,400,14,40
libero_90_task59,static,13,0,400,14,40
libero_90_task59,static,14,0,400,14,40
libero_90_task69,jitrl,0,0,400,14,40
libero_90_task69,jitrl,1,0,400,14,40
libero_90_task69,jitrl,2,0,400,14,40
libero_90_task69,jitrl,3,0,400,14,40
libero_90_task69,jitrl,4,0,400,14,40
libero_90_task69,jitrl,5,0,400,14,40
libero_90_task69,jitrl,6,0,400,14,40
libero_90_task69,jitrl,7,0,400,14,40
libero_90_task69,jitrl,8,0,400,14,40
libero_90_task69,jitrl,9,0,400,14,40
libero_90_task69,jitrl,10,0,400,14,40
libero_90_task69,jitrl,11,0,400,14,40
libero_90_task69,jitrl,12,0,400,14,40
libero_90_task69,jitrl,13,0,400,14,40
libero_90_task69,jitrl,14,0,400,14,40
libero_90_task69,static,0,0,400,14,40
libero_90_task69,static,1,0,400,14,40
libero_90_task69,static,2,0,400,14,40
libero_90_task69,static,3,0,400,14,40
libero_90_task69,static,4,0,400,14,40
libero_90_task69,static,5,0,400,14,40
libero_90_task69,static,6,0,400,14,40
libero_90_task69,static,7,0,400,14,40
libero_90_task69,static,8,0,400,14,40
libero_90_task69,static,9,0,400,14,40
libero_90_task69,static,10,0,400,14,40
libero_90_task69,static,11,0,400,14,40
libero_90_task69,static,12,0,400,14,40
libero_90_task69,static,13,0,400,14,40
libero_90_task69,static,14,0,400,14,40
libero_90_task79,jitrl,0,1,370,13,37
libero_90_task79,jitrl,1,0,400,14,40
libero_90_task79,jitrl,2,0,400,14,40
libero_90_task79,jitrl,3,0,400,14,40
libero_90_task79,jitrl,4,0,400,14,40
libero_90_task79,jitrl,5,0,400,14,40
libero_90_task79,jitrl,6,0,400,14,40
libero_90_task79,jitrl,7,0,400,14,40
libero_90_task79,jitrl,8,0,400,14,40
libero_90_task79,jitrl,9,0,400,14,40
libero_90_task79,jitrl,10,0,400,14,40
